dataset,selector,acc_mean,acc_std,train_ms,energy_mwh,n_selected
Optical Digits,Baseline (no FS),0.9660554008047044,0.008923335940233512,458.4282085333446,8.541120741922974,64.0
Optical Digits,Embedded (L1-SVM),0.954491557481344,0.019069320345111586,150.3043981776702,6.6757246957662755,32.0
Optical Digits,Embedded (RF importance),0.9510296089961828,0.02409307700349884,155.54276302193304,7.476127022167435,32.0
Optical Digits,Filter (Mutual Info),0.9468905395646343,0.028499866117053952,151.6346389332385,14.562764112963887,32.0
Optical Digits,Wrapper (RFE),0.9530695691048524,0.02177253321043507,168.9029962666003,19.694199327991726,32.0
Wisconsin Breast Cancer,Baseline (no FS),0.9648812296227294,0.009976324994379518,73.90666206677754,1.5152954142233264,30.0
Wisconsin Breast Cancer,Embedded (L1-SVM),0.9681898945988373,0.006424818505433039,64.72382417778135,1.4502022632058031,15.0
Wisconsin Breast Cancer,Embedded (RF importance),0.9590177508668426,0.009901999350773296,60.73060286653345,4.705801573460167,15.0
Wisconsin Breast Cancer,Filter (Mutual Info),0.9560851489589263,0.012108731741686621,60.51794815599957,2.793312861201937,15.0
Wisconsin Breast Cancer,Wrapper (RFE),0.961753695940934,0.006445516645563831,61.87161115586705,1.5829525078980724,15.0
